"director";"title";"country";"description";"release_year";"duration";"listed_in";"cast"
"Eleonore Pourriat";"I Am not an Easy Man";"France";"A shameless chauvinist gets a taste of his own medicine when he wakes up in a world dominated by women and locks horns with a powerful female author.";2018;99;"Comedies, International Movies, Romantic Movies";"Vincent Elbaz, Marie-Sophie Ferdane, Pierre Benezit, Blanche Gardin, Celine Menville"
"Laura Mañá";"I love you, stupid";"Spain";"After Marcos is dumped by his girlfriend, he attempts to reinvent himself as a modern man with the help of a childhood friend and an online guru.";2019;88;"Comedies, International Movies, Romantic Movies";"Quim Gutiérrez, Natalia Tena, Alfonso Bassave, Alba Ribas, Patricia Vico, Ernesto Alterio"
"Ava DuVernay";"I Will Follow";"United States";"Devastated after her aunt dies, Maye moves out of the home they shared and copes with her grief, yet finds comfort in the kindness of other mourners.";2010;80;"Dramas, Independent Movies, Romantic Movies";"Salli Richardson-Whitfield, Michole Briana White, Omari Hardwick, Tracie Thoms, Dijon Talton, Damone Roberts, Blair Underwood, Beverly Todd"
"Kim Jee-woon";"Illang: The Wolf Brigade";"South Korea";"In 2029, the elite police squad Illang combats a terrorist group opposing reunification of the two Koreas. But another enemy may be lurking nearby.";2018;140;"Action & Adventure, International Movies, Sci-Fi & Fantasy";"Gang Dong-won, Han Hyo-joo, Jung Woo-sung, Kim Mu-yeol, Han Ye-ri, Choi Min-ho, Shin Eun-soo, Kim Beop-rae, Lee Dong-ha, Jung Won-joong, Choi Jin-ho"
"Karey Kirkpatrick";"Imagine That";"United States, Germany";"Work problems are piling up for a businessman. But when he discovers a pathway to his daughter's imaginary world, he starts finding some solutions.";2009;108;"Children & Family Movies, Comedies, Sci-Fi & Fantasy";"Eddie Murphy, Thomas Haden Church, Yara Shahidi, Ronny Cox, Stephen Rannazzisi, Nicole Ari Parker, DeRay Davis, Vanessa Williams, Martin Sheen, Lauren Weedman, Timm Sharp, Bobb'e J. Thompson"
"Patricia Font";"In Family I Trust";"Spain";"After her partner cheats on her, an architect returns to her hometown to reassess her life with the help of her eccentric family. Based on the novel.";2018;98;"Comedies, Dramas, International Movies";"Clara Lago, Álex García, Carmen Maura, Alexandra Jiménez, Paula Malia, Fernando Guallar, Carlos Cuevas"
"Elizabeth Chai Vasarhelyi";"Incorruptible";"United States, Senegal";"In the streets of Senegal, a youth movement rises up against a regime bent on retaining power in this chronicle of the nation's stormy 2012 elections.";2015;90;"Documentaries";NA
"Patricia Rozema";"Into the Forest";"Canada";"In the near future, two frightened sisters fight for survival after losing their father during a deadly, quietly looming apocalypse.";2015;102;"Dramas, International Movies, Sci-Fi & Fantasy";"Ellen Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie, Michael Eklund, Wendy Crewson"
"Stephanie Laing";"Irreplaceable You";"United States";"A stunning cancer diagnosis spurs Abbie to seek a future girlfriend for fiancé and childhood sweetheart Sam, who's clueless when it comes to dating.";2018;96;"Dramas, Romantic Movies";"Gugu Mbatha-Raw, Michiel Huisman, Christopher Walken, Steve Coogan, Kate McKinnon, Jacki Weaver, Timothy Simons, Brian Tyree Henry, Alanna Masterson, Gayle Rankin, Tamara Tunie"
"Jadesola Osiberu";"Isoken";"Nigeria";"Single at 34, Isoken is maneuvered by her mother toward a relationship with a black entrepreneur but finds herself drawn to a white photojournalist.";2017;98;"Comedies, International Movies, Romantic Movies";"Dakore Akande, Joseph Benjamin, Marc Rhys, Funke Akindele, Lydia Forson, Damilola Adegbite, Tina Mba, Patrick Doyle"
"Cathy Garcia-Molina";"It Takes a Man and a Woman";"Philippines";"Laida and Miggy used to be in love, but now they're forced to work together in a professional capacity – and neither is completely over their past.";2013;127;"Comedies, International Movies, Romantic Movies";"John Lloyd Cruz, Sarah Geronimo, Rowell Santiago, Al Tantay, Irma Adlawan, Joross Gamboa, Gio Alvarez, Matet De Leon, Miles Ocampo, Andre Garcia, Dante Rivero, Isabelle Daza"
"Navjot Gulati";"Jai Mummy Di";"India";"Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the women’s longstanding war.";2020;101;"Comedies, International Movies, Romantic Movies";"Poonam Dhillon, Supriya Pathak, Sunny Singh, Sonalli Sehgall, Rajendra Sethi, Veer Rajwant Singh, Danish Husain, Alok Nath"
"Nila Madhab Panda";"Jalpari: The Desert Mermaid";"India";"When they travel to their father's ancestral village, city kids expecting a natural paradise instead find a poor, dusty town that harbors secrets.";2012;94;"Dramas, Independent Movies, International Movies";"Lehar Khan, Krishang Trivedi, Parvin Dabas, Suhasini Mulay, V.M. Badola, Tannishtha Chatterjee, Rahul Singh, Harsh Mayar"
"Gillian Robespierre";"Jenny Slate: Stage Fright";"United States";"Jenny Slate's first stand-up special is a mix of stage time, funny stories about adulthood and conversations with family in her childhood home.";2019;67;"Documentaries, Stand-Up Comedy";"Jenny Slate"
"Lydia Tenaglia";"Jeremiah Tower: The Last Magnificent";"Mexico, United States";"This documentary profiles influential chef Jeremiah Tower, who played a pivotal role in the invention of a revolutionary new American cuisine.";2016;103;"Documentaries";"Jeremiah Tower, Anthony Bourdain, Mario Batali, Ruth Reichl"
"Jeannie Gaffigan";"Jim Gaffigan: Cinco";"United States";"America's king of clean comedy delivers wickedly funny jokes in his fifth hour-long special.";2017;74;"Stand-Up Comedy";"Jim Gaffigan"
"Susannah Heath-Eves";"Jugaad";NA;"Following the stories of five diverse individuals, this documentary offers a glimpse into the indomitable tenacity of several Mumbai residents.";2017;52;"Documentaries";NA
"Nora Ephron";"Julie & Julia";"United States";"In this heartwarming tale, Julie Powell decides to spice up her uneventful life by cooking all 524 recipes outlined in Julia Child's classic cookbook.";2009;123;"Comedies, Dramas";"Meryl Streep, Amy Adams, Stanley Tucci, Chris Messina, Linda Emond, Helen Carey, Mary Lynn Rajskub, Jane Lynch, Joan Juliet Buck"
"Lana Wachowski, Lilly Wachowski";"Jupiter Ascending";"United States, Australia";"A young impoverished woman learns she's been predestined to change the fate of the universe after a genetically engineered hunter tracks her down.";2015;128;"Action & Adventure, Sci-Fi & Fantasy";"Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne, Douglas Booth, Tuppence Middleton, Nikki Amuka-Bird, Christina Cole, James D'Arcy, Gugu Mbatha-Raw"
"Stephanie Turner";"Justine";"United States";"A widowed, single mom takes a job caring for a young girl with spina bifida, and the two discover they have more in common than they realized.";2019;106;"Dramas, Independent Movies";"Stephanie Turner, Glynn Turman, Daisy Prescott, Darby Stanchfield, Josh Stamberg, Bridget Kallal, Ravi Cabot-Conyers, Cleo King, Melanie Hutsell"
"Kathryn Bigelow";"K-19: The Widowmaker";"United Kingdom, Germany, Canada, United States";"On board Russia's first nuclear ballistic submarine, Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion.";2002;138;"Action & Adventure, Dramas";"Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter"
"Naoko Yamada";"K-on! the movie";"Japan";"The seniors in Sakuragaoka High School's music club live out the graduation trip of their dreams when they celebrate by performing in London.";2011;110;"Anime Features, Music & Musicals";"Aki Toyosaki, Yoko Hikasa, Satomi Sato, Minako Kotobuki, Ayana Taketatsu, Asami Sanada, Madoka Yonezawa, Chika Fujito, Yoriko Nagata"
"Kranti Redkar";"Kaakan";"India";"Star-crossed lovers from different social strata struggle to overcome differences in class and family expectation, as well as a long separation.";2015;132;"Dramas, International Movies, Romantic Movies";"Jitendra Joshi, Urmila Kanitkar, Ashutosh Gaikwad, Ashok Shinde, Madhavi Juvekar"
"Terrie Samundra";"Kaali Khuhi";"India";"When a restless spirit curses a village that has a history of female infanticide, the town's fate lies in the hands of a 10-year-old girl.";2020;91;"Horror Movies, International Movies";"Shabana Azmi, Leela Samson, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora, Hetvi Bhanushali, Rose Rathod"
"Pooja Bhatt";"Kajraare";"India";"A popular singer on the run poses as a bartender and falls in love with a prostitute, but their love is threatened by a violent incident in his past.";2010;113;"Dramas, International Movies, Music & Musicals";"Himesh Reshammiya, Sara Loren, Amrita Singh, Gulshan Grover, Javed Sheikh, Adnan Shah, Natasha Sinha, Gaurav Chanana, Anupam Shyam"
"Shakun Batra";"Kapoor & Sons";"India";"Returning home to visit their ill grandfather, two estranged brothers must confront their unresolved rivalry while their parents’ marriage frays.";2016;138;"Comedies, Dramas, International Movies";"Rishi Kapoor, Sidharth Malhotra, Fawad Khan, Alia Bhatt, Ratna Pathak Shah, Rajat Kapoor"
"Linda Mendoza";"Katherine Ryan: Glitter Room";"United States";"Fresh from a tour, comedian Katherine Ryan shares shrewd observations about school bullies, revenge bodies and raising a very fancy child.";2019;66;"Stand-Up Comedy";"Katherine Ryan"
"Lorene Machado";"Kathleen Madigan: Bothering Jesus";"United States";"The Irish American comic riffs on everything from growing up in Missouri, signing up her parents to be Uber drivers and anything to do with bacon.";2016;71;"Stand-Up Comedy";"Kathleen Madigan"
"Brit McAdams";"Katt Williams: American Hustle (The Movie)";"United States";"An aspiring actor leaves Hollywood and takes to the road to do stand-up after he's cast in a series of increasingly stereotypical ""black"" roles.";2007;89;"Stand-Up Comedy";"Katt Williams, Da Brat, Snoop Dogg, Tamala Jones, Jeremy Piven, Ludacris, Melanie Comarcho, Red Grant, Alphonso Mcauley, Damaine Radcliff, Taran Killam"
"Madhumita";"KD (A) Karuppudurai";"India";"As his children plot his death to claim their inheritance, an aging patriarch leaves home, befriending a spunky boy who adds direction to his life.";2019;116;"Comedies, Dramas, Independent Movies";"Mu Ramaswamy, Naga Vishal, Yog Japee, Ganesan Kaliamoorthy, Guna Babu"
"Lori Kaye";"Kevyn Aucoin: Beauty & the Beast in Me";"United States";"Makeup artist Kevyn Aucoin worked with top supermodels in the 1980s and 1990s. Personal videos merged with interviews provide a peek into his life.";2017;90;"Documentaries, LGBTQ Movies";"Kevyn Aucoin, Cindy Crawford, Naomi Campbell, Gwyneth Paltrow, Andie MacDowell, Paulina Porizkova, Amber Valletta"
"Kemi Adetiba";"King of Boys";"Nigeria";"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.";2018;182;"Dramas, International Movies";"Sola Sobowale, Adesua Etomi, Remilekun Safaru, iLLBLISS, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja"
"Lucy Cohen";"Kingdom of Us";"United Kingdom";"A father's suicide sends a family of eight on a journey through childhood memories and treacherous emotional waters in this poignant documentary.";2017;110;"Documentaries";NA
"Sigrid Andrea Bernardo";"Kita Kita";"Philippines";"When a tour guide in Japan goes blind after seeing her fiancé’s infidelity, she befriends a fellow Filipino keen to coax her out of the darkness.";2017;84;"Comedies, Dramas, International Movies";"Alessandra de Rossi, Empoy Marquez"
"Rachel Lears";"Knock Down The House";"United States";"Go behind the scenes as four determined women – including Alexandria Ocasio-Cortez – challenge big-money politicians in the 2018 race for Congress.";2019;88;"Documentaries";"Alexandria Ocasio-Cortez"
"Noor Imran Mithu";"Komola Rocket";"Bangladesh";"As the lives of rich and poor passengers aboard a steamship unfold, buried secrets, lustful affairs and selfish desires are exposed.";2018;95;"Dramas, Independent Movies, International Movies";"Tauquir Ahmed, Mosharraf Karim, Joyraj, Samia Said, Dominic Gomez"
"Greta Gerwig";"Lady Bird";"United States";"An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college on the East Coast.";2017;94;"Comedies, Dramas, Independent Movies";"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Lois Smith, Stephen Henderson, Odeya Rush, Jordan Rodrigues"
"Lygia Barbosa da Silva, Eliane Brum";"Laerte-se";"Brazil";"After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman.";2017;101;"Documentaries, International Movies, LGBTQ Movies";"Laerte Coutinho"
"Jaki Bradley";"Last Ferry";"United States";"Seeking romance and friendship, a young gay lawyer travels to Fire Island in the off-season and is soon on the run after witnessing a murder.";2019;86;"Dramas, Independent Movies, LGBTQ Movies";"Ramón O. Torres, Sheldon Best, Myles Clohessy, Larry Owens, Gabriel Sloyer"
"Regina Welker, Nina Wels";"Latte and the Magic Waterstone";"Germany";"When a greedy bear steals a magic stone to keep the forest’s water for himself, a brave hedgehog and a timid squirrel must work together to retrieve it.";2020;83;"Children & Family Movies, Comedies";"Ashley Bornancin, Carter Hastings"
"Kim A. Snyder";"Lessons from a School Shooting: Notes from Dunblane";"United States";"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart.";2018;24;"Documentaries";NA
"Inas El-Degheidy";"Let's Dance";"Egypt";"Disillusioned with her humdrum routine, a married lawyer secretly enrolls in a dance school in this remake of the 1996 Japanese film “Shall We Dance?”";2006;116;"Comedies, Dramas, International Movies";"Yousra, Tamer Hagras, Ezzat Abou Aouf, Hala Sedki, Marwan Azab"
"Jenna Laurenzo";"Lez Bomb";"United States";"A young woman's attempt to come out of the closet on Thanksgiving gets complicated when her male roommate shows up to her parents' home unannounced.";2018;90;"Comedies, LGBTQ Movies";"Jenna Laurenzo, Deirdre O'Connell, Brandon Michael Hall, Kevin Pollak, Elaine Hendrix, Steve Guttenberg, Cloris Leachman, Bruce Dern"
"Geetu Mohandas";"Liar's Dice";"India";"A woman from a small mountain village disobeys her village elders and sets out for the big city in search of her missing husband.";2013;104;"Dramas, Independent Movies, International Movies";"Nawazuddin Siddiqui, Geetanjali Thapa, Manya Gupta, Murari Kumar"
"Vrinda Samartha";"Limitless";"India";"This documentary follows eight women in India who struggle with self-confidence and society's expectations but rediscover themselves through running.";2017;59;"Documentaries, International Movies, Sports Movies";NA
